epoch,error_train,acc_train,error_valid,acc_valid
1,,,3.547956705093384,0.0
1,2.212172269821167,,1.9855844974517822,0.7724289894104004
2,1.281764268875122,0.41578948497772217,1.1951918601989746,0.840715765953064
3,0.31787553429603577,0.7994736433029175,0.38289254903793335,0.9104833602905273
4,0.2754906713962555,0.8747369050979614,0.24685846269130707,0.939130961894989
5,0.13164792954921722,0.9473683834075928,0.1957004964351654,0.943833589553833
6,0.0559980683028698,0.9694737195968628,0.16227805614471436,0.951224684715271
7,0.07193087786436081,0.9784210920333862,0.14592929184436798,0.953664243221283
8,0.0952920988202095,0.9857894778251648,0.13090002536773682,0.9596908092498779
9,0.10207755118608475,0.9936841726303101,0.13330097496509552,0.9603791832923889
10,0.10901731252670288,0.9942105412483215,0.13319237530231476,0.9616031050682068
